1. Using architecture PEs=4, L1=16, L2=128
    6. Model alexnet with 5 layers: 6.045e+00
    7. Model transformer with 96 layers: 2.447e+00
    8. Model resnet50 with 53 layers: 7.507e+00
    9. Model wide_resnet50 with 53 layers: 7.819e+00
    10. Model manual with 3 layers: 8.889e+00
    11. Model shufflenet_v2 with 56 layers: 8.191e+00
    12. Model squeezenet with 26 layers: 8.752e+00
    13. Model try with 3 layers: 6.044e+00
    14. Model resnet18 with 20 layers: 8.267e+00
    15. Model vgg16 with 13 layers: 7.900e+00
    16. Model densenet with 160 layers: 
8.081e+00
    17. Model T5_m with 6 layers: 2.750e+00
    18. Model resnext50_32x4d with 53 layers: 6.538e+00
    19. Model BERT_m with 6 layers: 4.423e+00
    20. Model ALBERT_m with 5 layers: 3.999e+00

Final result with all models and fixed hardware = 6.919388396481732

77. Using architecture PEs=32, L1=128, L2=256
    1. Model mnasnet with 52 layers: 1.313e+01
    2. Model ncf_m with 12 layers: 1.463e+01
    3. Model mobilenet_v2 with 52 layers: 1.552e+01
    4. Model googlenet with 59 layers: 1.525e+01
    5. Model dlrmRMC1_m with 6 layers: 1.414e+01
    6. Model alexnet with 5 layers: 1.505e+01
    7. Model transformer with 96 layers: 1.532e+01
    8. Model resnet50 with 53 layers: 1.502e+01
    9. Model wide_resnet50 with 53 layers: 1.488e+01
    10. Model manual with 3 layers: 1.600e+01
    11. Model shufflenet_v2 with 56 layers: 1.407e+01
    12. Model squeezenet with 26 layers: 1.575e+01
    13. Model try with 3 layers: 1.600e+01
    14. Model resnet18 with 20 layers: 1.537e+01
    15. Model vgg16 with 13 layers: 1.704e+01
    16. Model densenet with 160 layers: 1.431e+01
    17. Model T5_m with 6 layers: 1.600e+01
    18. Model resnext50_32x4d with 53 layers: 1.508e+01
    19. Model BERT_m with 6 layers: 1.600e+01
    20. Model ALBERT_m with 5 layers: 1.626e+01

Final result with all models and fixed hardware = 14.83806243166441

78. Using architecture PEs=32, L1=128, L2=512
    1. Model mnasnet with 52 layers: 1.756e+01
    2. Model ncf_m with 12 layers: 1.577e+01
    3. Model mobilenet_v2 with 52 layers: 1.905e+01
    4. Model googlenet with 59 layers: 1.729e+01
    5. Model dlrmRMC1_m with 6 layers: 1.501e+01
    6. Model alexnet with 5 layers: 1.781e+01
    7. Model transformer with 96 layers: 1.681e+01
    8. Model resnet50 with 53 layers: 1.871e+01
    9. Model wide_resnet50 with 53 layers: 1.771e+01
    10. Model manual with 3 layers: 1.768e+01
    11. Model shufflenet_v2 with 56 layers: 1.649e+01
    12. Model squeezenet with 26 layers: 1.828e+01
    13. Model try with 3 layers: 1.320e+01
    14. Model resnet18 with 20 layers: 2.014e+01
    15. Model vgg16 with 13 layers: 1.640e+01
    16. Model densenet with 160 layers: 1.765e+01
    17. Model T5_m with 6 layers: 1.527e+01
    18. Model resnext50_32x4d with 53 layers: 1.721e+01
    19. Model BERT_m with 6 layers: 1.689e+01
    20. Model ALBERT_m with 5 layers: 1.828e+01

Final result with all models and fixed hardware = 17.543402292286874

79. Using architecture PEs=32, L1=128, L2=1024
    1. Model mnasnet with 52 layers: 2.060e+01
    2. Model ncf_m with 12 layers: 1.653e+01
    3. Model mobilenet_v2 with 52 layers: 2.015e+01
    4. Model googlenet with 59 layers: 2.159e+01
    5. Model dlrmRMC1_m with 6 layers: 1.851e+01
    6. Model alexnet with 5 layers: 2.420e+01
    7. Model transformer with 96 layers: 1.831e+01
    8. Model resnet50 with 53 layers: 2.207e+01
    9. Model wide_resnet50 with 53 layers: 2.236e+01
    10. Model manual with 3 layers: 2.024e+01
    11. Model shufflenet_v2 with 56 layers: 2.039e+01
    12. Model squeezenet with 26 layers: 2.236e+01
    13. Model try with 3 layers: 2.429e+01
    14. Model resnet18 with 20 layers: 2.166e+01
    15. Model vgg16 with 13 layers: 2.169e+01
    16. Model densenet with 160 layers: 2.047e+01
    17. Model T5_m with 6 layers: 1.950e+01
    18. Model resnext50_32x4d with 53 layers: 2.145e+01
    19. Model BERT_m with 6 layers: 1.927e+01
    20. Model ALBERT_m with 5 layers: 2.242e+01

Final result with all models and fixed hardware = 20.65654689986468

80. Using architecture PEs=32, L1=128, L2=2048
    1. Model mnasnet with 52 layers: 2.205e+01
    2. Model ncf_m with 12 layers: 1.770e+01
    3. Model mobilenet_v2 with 52 layers: 2.461e+01
    4. Model googlenet with 59 layers: 2.372e+01
    5. Model dlrmRMC1_m with 6 layers: 2.107e+01
    6. Model alexnet with 5 layers: 1.851e+01
    7. Model transformer with 96 layers: 2.039e+01
    8. Model resnet50 with 53 layers: 2.366e+01
    9. Model wide_resnet50 with 53 layers: 2.374e+01
    10. Model manual with 3 layers: 2.437e+01
    11. Model shufflenet_v2 with 56 layers: 2.273e+01
    12. Model squeezenet with 26 layers: 2.309e+01
    13. Model try with 3 layers: 2.637e+01
    14. Model resnet18 with 20 layers: 2.403e+01
    15. Model vgg16 with 13 layers: 2.448e+01
    16. Model densenet with 160 layers: 2.244e+01
    17. Model T5_m with 6 layers: 2.058e+01
    18. Model resnext50_32x4d with 53 layers: 2.443e+01
    19. Model BERT_m with 6 layers: 2.345e+01
    20. Model ALBERT_m with 5 layers: 1.463e+01

Final result with all models and fixed hardware = 22.696522167794317

81. Using architecture PEs=64, L1=16, L2=128
    1. Model mnasnet with 52 layers: 7.663e+00
    2. Model ncf_m with 12 layers: 2.283e+00
    3. Model mobilenet_v2 with 52 layers: 7.855e+00
    4. Model googlenet with 59 layers: 8.338e+00
    5. Model dlrmRMC1_m with 6 layers: 5.090e+00
    6. Model alexnet with 5 layers: 8.205e+00
    7. Model transformer with 96 layers: 3.436e+00
    8. Model resnet50 with 53 layers: 8.013e+00
    9. Model wide_resnet50 with 53 layers: 8.806e+00
    10. Model manual with 3 layers: 8.827e+00
    11. Model shufflenet_v2 with 56 layers: 8.826e+00
    12. Model squeezenet with 26 layers: 1.046e+01
    13. Model try with 3 layers: 4.805e+00
    14. Model resnet18 with 20 layers: 7.825e+00
    15. Model vgg16 with 13 layers: 9.240e+00
    16. Model densenet with 160 layers: 7.745e+00
    17. Model T5_m with 6 layers: 4.719e+00
    18. Model resnext50_32x4d with 53 layers: 8.141e+00
    19. Model BERT_m with 6 layers: 3.319e+00
    20. Model ALBERT_m with 5 layers: 4.107e+00

Final result with all models and fixed hardware = 7.364166173207036

82. Using architecture PEs=64, L1=16, L2=256
    1. Model mnasnet with 52 layers: 1.595e+01
    2. Model ncf_m with 12 layers: 4.996e+00
    3. Model mobilenet_v2 with 52 layers: 1.427e+01
    4. Model googlenet with 59 layers: 1.355e+01
    5. Model dlrmRMC1_m with 6 layers: 6.266e+00
    6. Model alexnet with 5 layers: 1.489e+01
    7. Model transformer with 96 layers: 5.190e+00
    8. Model resnet50 with 53 layers: 1.582e+01
    9. Model wide_resnet50 with 53 layers: 1.492e+01
    10. Model manual with 3 layers: 1.233e+01
    11. Model shufflenet_v2 with 56 layers: 1.572e+01
    12. Model squeezenet with 26 layers: 1.805e+01
    13. Model try with 3 layers: 4.485e+00
    14. Model resnet18 with 20 layers: 1.363e+01
    15. Model vgg16 with 13 layers: 1.556e+01
    16. Model densenet with 160 layers: 1.691e+01
    17. Model T5_m with 6 layers: 6.035e+00
    18. Model resnext50_32x4d with 53 layers: 1.438e+01
    19. Model BERT_m with 6 layers: 4.861e+00
    20. Model ALBERT_m with 5 layers: 6.896e+00

Final result with all models and fixed hardware = 13.685517433017592

83. Using architecture PEs=64, L1=16, L2=512
    1. Model mnasnet with 52 layers: 2.649e+01
    2. Model ncf_m with 12 layers: 2.848e+01
    3. Model mobilenet_v2 with 52 layers: 2.826e+01
    4. Model googlenet with 59 layers: 2.956e+01
    5. Model dlrmRMC1_m with 6 layers: 2.752e+01
    6. Model alexnet with 5 layers: 3.019e+01
    7. Model transformer with 96 layers: 3.152e+01
    8. Model resnet50 with 53 layers: 3.099e+01
    9. Model wide_resnet50 with 53 layers: 2.745e+01
    10. Model manual with 3 layers: 3.200e+01
    11. Model shufflenet_v2 with 56 layers: 2.870e+01
    12. Model squeezenet with 26 layers: 2.835e+01
    13. Model try with 3 layers: 2.033e+01
    14. Model resnet18 with 20 layers: 2.751e+01
    15. Model vgg16 with 13 layers: 2.993e+01
    16. Model densenet with 160 layers: 2.902e+01
    17. Model T5_m with 6 layers: 3.200e+01
    18. Model resnext50_32x4d with 53 layers: 3.064e+01
    19. Model BERT_m with 6 layers: 3.200e+01
    20. Model ALBERT_m with 5 layers: 3.200e+01

Final result with all models and fixed hardware = 29.262159897158323

84. Using architecture PEs=64, L1=16, L2=1024
    1. Model mnasnet with 52 layers: 2.918e+01
    2. Model ncf_m with 12 layers: 3.150e+01
    3. Model mobilenet_v2 with 52 layers: 3.359e+01
    4. Model googlenet with 59 layers: 3.480e+01
    5. Model dlrmRMC1_m with 6 layers: 3.269e+01
    6. Model alexnet with 5 layers: 3.529e+01
    7. Model transformer with 96 layers: 3.337e+01
    8. Model resnet50 with 53 layers: 3.783e+01
    9. Model wide_resnet50 with 53 layers: 3.723e+01
    10. Model manual with 3 layers: 3.067e+01
    11. Model shufflenet_v2 with 56 layers: 3.287e+01
    12. Model squeezenet with 26 layers: 3.207e+01
    13. Model try with 3 layers: 3.620e+01
    14. Model resnet18 with 20 layers: 3.663e+01
    15. Model vgg16 with 13 layers: 3.250e+01
    16. Model densenet with 160 layers: 3.580e+01
    17. Model T5_m with 6 layers: 3.200e+01
    18. Model resnext50_32x4d with 53 layers: 3.763e+01
    19. Model BERT_m with 6 layers: 2.810e+01
    20. Model ALBERT_m with 5 layers: 3.200e+01

Final result with all models and fixed hardware = 34.53682328822734

85. Using architecture PEs=64, L1=16, L2=2048
    1. Model mnasnet with 52 layers: 3.829e+01
    2. Model ncf_m with 12 layers: 3.602e+01
    3. Model mobilenet_v2 with 52 layers: 4.160e+01
    4. Model googlenet with 59 layers: 3.999e+01
    5. Model dlrmRMC1_m with 6 layers: 3.053e+01
    6. Model alexnet with 5 layers: 3.844e+01
    7. Model transformer with 96 layers: 3.928e+01
    8. Model resnet50 with 53 layers: 3.947e+01
    9. Model wide_resnet50 with 53 layers: 4.082e+01
    10. Model manual with 3 layers: 4.018e+01
    11. Model shufflenet_v2 with 56 layers: 3.829e+01
    12. Model squeezenet with 26 layers: 3.791e+01
    13. Model try with 3 layers: 3.374e+01
    14. Model resnet18 with 20 layers: 3.695e+01
    15. Model vgg16 with 13 layers: 3.923e+01
    16. Model densenet with 160 layers: 3.996e+01
    17. Model T5_m with 6 layers: 3.471e+01
    18. Model resnext50_32x4d with 53 layers: 3.877e+01
    19. Model BERT_m with 6 layers: 3.762e+01
    20. Model ALBERT_m with 5 layers: 3.747e+01

Final result with all models and fixed hardware = 39.265956778078476

86. Using architecture PEs=64, L1=32, L2=128
    1. Model mnasnet with 52 layers: 8.072e+00
    2. Model ncf_m with 12 layers: 2.553e+00
    3. Model mobilenet_v2 with 52 layers: 7.756e+00
    4. Model googlenet with 59 layers: 9.291e+00
    5. Model dlrmRMC1_m with 6 layers: 3.415e+00
    6. Model alexnet with 5 layers: 8.958e+00
    7. Model transformer with 96 layers: 3.370e+00
    8. Model resnet50 with 53 layers: 7.866e+00
    9. Model wide_resnet50 with 53 layers: 8.172e+00
    10. Model manual with 3 layers: 4.035e+00
    11. Model shufflenet_v2 with 56 layers: 1.031e+01
    12. Model squeezenet with 26 layers: 9.827e+00
    13. Model try with 3 layers: 6.761e+00
    14. Model resnet18 with 20 layers: 9.580e+00
    15. Model vgg16 with 13 layers: 7.800e+00
    16. Model densenet with 160 layers: 8.096e+00
    17. Model T5_m with 6 layers: 5.528e+00
    18. Model resnext50_32x4d with 53 layers: 7.513e+00
    19. Model BERT_m with 6 layers: 3.056e+00
    20. Model ALBERT_m with 5 layers: 5.195e+00

Final result with all models and fixed hardware = 7.537225815967523

87. Using architecture PEs=64, L1=32, L2=256
    1. Model mnasnet with 52 layers: 1.507e+01
    2. Model ncf_m with 12 layers: 8.555e+00
    3. Model mobilenet_v2 with 52 layers: 1.459e+01
    4. Model googlenet with 59 layers: 1.542e+01
    5. Model dlrmRMC1_m with 6 layers: 9.698e+00
    6. Model alexnet with 5 layers: 1.514e+01
    7. Model transformer with 96 layers: 4.838e+00
    8. Model resnet50 with 53 layers: 1.637e+01
    9. Model wide_resnet50 with 53 layers: 1.471e+01
    10. Model manual with 3 layers: 2.031e+01
    11. Model shufflenet_v2 with 56 layers: 1.491e+01
    12. Model squeezenet with 26 layers: 1.841e+01
    13. Model try with 3 layers: 1.465e+01
    14. Model resnet18 with 20 layers: 1.682e+01
    15. Model vgg16 with 13 layers: 1.538e+01
    16. Model densenet with 160 layers: 1.689e+01
    17. Model T5_m with 6 layers: 1.645e+00
    18. Model resnext50_32x4d with 53 layers: 1.624e+01
    19. Model BERT_m with 6 layers: 4.464e+00
    20. Model ALBERT_m with 5 layers: 1.068e+01

Final result with all models and fixed hardware = 14.084684028416778

88. Using architecture PEs=64, L1=32, L2=512
    1. Model mnasnet with 52 layers: 2.761e+01
    2. Model ncf_m with 12 layers: 2.679e+01
    3. Model mobilenet_v2 with 52 layers: 3.069e+01
    4. Model googlenet with 59 layers: 2.672e+01
    5. Model dlrmRMC1_m with 6 layers: 2.515e+01
    6. Model alexnet with 5 layers: 2.881e+01
    7. Model transformer with 96 layers: 3.059e+01
    8. Model resnet50 with 53 layers: 3.006e+01
    9. Model wide_resnet50 with 53 layers: 2.926e+01
    10. Model manual with 3 layers: 2.533e+01
    11. Model shufflenet_v2 with 56 layers: 2.807e+01
    12. Model squeezenet with 26 layers: 2.753e+01
    13. Model try with 3 layers: 3.065e+01
    14. Model resnet18 with 20 layers: 3.117e+01
    15. Model vgg16 with 13 layers: 3.132e+01
    16. Model densenet with 160 layers: 2.915e+01
    17. Model T5_m with 6 layers: 3.200e+01
    18. Model resnext50_32x4d with 53 layers: 2.833e+01
    19. Model BERT_m with 6 layers: 3.200e+01
    20. Model ALBERT_m with 5 layers: 3.200e+01

Final result with all models and fixed hardware = 29.0940689661705

89. Using architecture PEs=64, L1=32, L2=1024
    1. Model mnasnet with 52 layers: 3.160e+01
    2. Model ncf_m with 12 layers: 3.459e+01
    3. Model mobilenet_v2 with 52 layers: 3.587e+01
    4. Model googlenet with 59 layers: 3.340e+01
    5. Model dlrmRMC1_m with 6 layers: 2.852e+01
    6. Model alexnet with 5 layers: 2.813e+01
    7. Model transformer with 96 layers: 2.942e+01
    8. Model resnet50 with 53 layers: 3.453e+01
    9. Model wide_resnet50 with 53 layers: 3.501e+01
    10. Model manual with 3 layers: 4.416e+01
    11. Model shufflenet_v2 with 56 layers: 3.261e+01
    12. Model squeezenet with 26 layers: 3.433e+01
    13. Model try with 3 layers: 3.491e+01
    14. Model resnet18 with 20 layers: 3.223e+01
    15. Model vgg16 with 13 layers: 3.408e+01
    16. Model densenet with 160 layers: 3.558e+01
    17. Model T5_m with 6 layers: 3.200e+01
    18. Model resnext50_32x4d with 53 layers: 3.500e+01
    19. Model BERT_m with 6 layers: 3.339e+01
    20. Model ALBERT_m with 5 layers: 3.200e+01

Final result with all models and fixed hardware = 33.63990430175913

90. Using architecture PEs=64, L1=32, L2=2048
    1. Model mnasnet with 52 layers: 3.705e+01
    2. Model ncf_m with 12 layers: 3.486e+01
    3. Model mobilenet_v2 with 52 layers: 4.106e+01
    4. Model googlenet with 59 layers: 4.203e+01
    5. Model dlrmRMC1_m with 6 layers: 4.106e+01
    6. Model alexnet with 5 layers: 3.098e+01
    7. Model transformer with 96 layers: 3.534e+01
    8. Model resnet50 with 53 layers: 4.292e+01
    9. Model wide_resnet50 with 53 layers: 3.992e+01
    10. Model manual with 3 layers: 4.447e+01
    11. Model shufflenet_v2 with 56 layers: 3.934e+01
    12. Model squeezenet with 26 layers: 3.795e+01
    13. Model try with 3 layers: 4.553e+01
    14. Model resnet18 with 20 layers: 3.937e+01
    15. Model vgg16 with 13 layers: 3.883e+01
    16. Model densenet with 160 layers: 4.027e+01
    17. Model T5_m with 6 layers: 3.500e+01
    18. Model resnext50_32x4d with 53 layers: 4.443e+01
    19. Model BERT_m with 6 layers: 3.176e+01
    20. Model ALBERT_m with 5 layers: 2.507e+01

Final result with all models and fixed hardware = 39.54125017591339

91. Using architecture PEs=64, L1=64, L2=128
    1. Model mnasnet with 52 layers: 8.053e+00
    2. Model ncf_m with 12 layers: 3.506e+00
    3. Model mobilenet_v2 with 52 layers: 8.070e+00
    4. Model googlenet with 59 layers: 8.853e+00
    5. Model dlrmRMC1_m with 6 layers: 2.282e+00
    6. Model alexnet with 5 layers: 6.171e+00
    7. Model transformer with 96 layers: 2.500e+00
    8. Model resnet50 with 53 layers: 8.638e+00
    9. Model wide_resnet50 with 53 layers: 8.057e+00
    10. Model manual with 3 layers: 4.304e+00
    11. Model shufflenet_v2 with 56 layers: 9.378e+00
    12. Model squeezenet with 26 layers: 9.789e+00
    13. Model try with 3 layers: 7.266e+00
    14. Model resnet18 with 20 layers: 8.682e+00
    15. Model vgg16 with 13 layers: 7.608e+00
    16. Model densenet with 160 layers: 8.049e+00
    17. Model T5_m with 6 layers: 4.131e+00
    18. Model resnext50_32x4d with 53 layers: 7.371e+00
    19. Model BERT_m with 6 layers: 5.618e+00
    20. Model ALBERT_m with 5 layers: 5.948e+00

Final result with all models and fixed hardware = 7.342040868741542

92. Using architecture PEs=64, L1=64, L2=256
    1. Model mnasnet with 52 layers: 1.657e+01
    2. Model ncf_m with 12 layers: 8.116e+00
    3. Model mobilenet_v2 with 52 layers: 1.427e+01
    4. Model googlenet with 59 layers: 1.390e+01
    5. Model dlrmRMC1_m with 6 layers: 6.872e+00
    6. Model alexnet with 5 layers: 1.348e+01
    7. Model transformer with 96 layers: 5.773e+00
    8. Model resnet50 with 53 layers: 1.460e+01
    9. Model wide_resnet50 with 53 layers: 1.555e+01
    10. Model manual with 3 layers: 1.950e+01
    11. Model shufflenet_v2 with 56 layers: 1.584e+01
    12. Model squeezenet with 26 layers: 2.059e+01
    13. Model try with 3 layers: 1.593e+01
    14. Model resnet18 with 20 layers: 1.742e+01
    15. Model vgg16 with 13 layers: 1.359e+01
    16. Model densenet with 160 layers: 1.776e+01
    17. Model T5_m with 6 layers: 7.678e+00
    18. Model resnext50_32x4d with 53 layers: 1.386e+01
    19. Model BERT_m with 6 layers: 7.216e+00
    20. Model ALBERT_m with 5 layers: 5.360e+00

Final result with all models and fixed hardware = 14.248040799729363

93. Using architecture PEs=64, L1=64, L2=512
    1. Model mnasnet with 52 layers: 2.778e+01
    2. Model ncf_m with 12 layers: 3.284e+01
    3. Model mobilenet_v2 with 52 layers: 2.899e+01
    4. Model googlenet with 59 layers: 2.663e+01
    5. Model dlrmRMC1_m with 6 layers: 2.854e+01
    6. Model alexnet with 5 layers: 2.266e+01
    7. Model transformer with 96 layers: 3.073e+01
    8. Model resnet50 with 53 layers: 3.055e+01
    9. Model wide_resnet50 with 53 layers: 2.843e+01
    10. Model manual with 3 layers: 1.911e+01
    11. Model shufflenet_v2 with 56 layers: 2.744e+01
    12. Model squeezenet with 26 layers: 2.839e+01
    13. Model try with 3 layers: 2.532e+01
    14. Model resnet18 with 20 layers: 3.011e+01
    15. Model vgg16 with 13 layers: 3.105e+01
    16. Model densenet with 160 layers: 2.862e+01
    17. Model T5_m with 6 layers: 3.200e+01
    18. Model resnext50_32x4d with 53 layers: 2.980e+01
    19. Model BERT_m with 6 layers: 2.683e+01
    20. Model ALBERT_m with 5 layers: 3.200e+01

Final result with all models and fixed hardware = 28.908156722598104

94. Using architecture PEs=64, L1=64, L2=1024
    1. Model mnasnet with 52 layers: 3.105e+01
    2. Model ncf_m with 12 layers: 2.961e+01
    3. Model mobilenet_v2 with 52 layers: 3.400e+01
    4. Model googlenet with 59 layers: 3.355e+01
    5. Model dlrmRMC1_m with 6 layers: 3.362e+01
    6. Model alexnet with 5 layers: 2.691e+01
    7. Model transformer with 96 layers: 3.281e+01
    8. Model resnet50 with 53 layers: 3.744e+01
    9. Model wide_resnet50 with 53 layers: 3.515e+01
    10. Model manual with 3 layers: 3.556e+01
    11. Model shufflenet_v2 with 56 layers: 3.222e+01
    12. Model squeezenet with 26 layers: 3.387e+01
    13. Model try with 3 layers: 2.918e+01
    14. Model resnet18 with 20 layers: 3.225e+01
    15. Model vgg16 with 13 layers: 3.765e+01
    16. Model densenet with 160 layers: 3.486e+01
    17. Model T5_m with 6 layers: 3.200e+01
    18. Model resnext50_32x4d with 53 layers: 3.620e+01
    19. Model BERT_m with 6 layers: 3.679e+01
    20. Model ALBERT_m with 5 layers: 3.200e+01

Final result with all models and fixed hardware = 34.00938661163735

95. Using architecture PEs=64, L1=64, L2=2048
    1. Model mnasnet with 52 layers: 3.866e+01
    2. Model ncf_m with 12 layers: 3.621e+01
    3. Model mobilenet_v2 with 52 layers: 3.869e+01
    4. Model googlenet with 59 layers: 3.863e+01
    5. Model dlrmRMC1_m with 6 layers: 3.435e+01
    6. Model alexnet with 5 layers: 3.292e+01
    7. Model transformer with 96 layers: 3.593e+01
    8. Model resnet50 with 53 layers: 4.314e+01
    9. Model wide_resnet50 with 53 layers: 4.346e+01
    10. Model manual with 3 layers: 3.970e+01
    11. Model shufflenet_v2 with 56 layers: 3.576e+01
    12. Model squeezenet with 26 layers: 4.452e+01
    13. Model try with 3 layers: 2.672e+01
    14. Model resnet18 with 20 layers: 2.956e+01
    15. Model vgg16 with 13 layers: 4.248e+01
    16. Model densenet with 160 layers: 4.270e+01
    17. Model T5_m with 6 layers: 4.025e+01
    18. Model resnext50_32x4d with 53 layers: 4.098e+01
    19. Model BERT_m with 6 layers: 3.276e+01
    20. Model ALBERT_m with 5 layers: 3.804e+01

Final result with all models and fixed hardware = 39.622305849797016

96. Using architecture PEs=64, L1=128, L2=128
    1. Model mnasnet with 52 layers: 9.431e+00
    2. Model ncf_m with 12 layers: 1.828e+00
    3. Model mobilenet_v2 with 52 layers: 9.358e+00
    4. Model googlenet with 59 layers: 9.795e+00
    5. Model dlrmRMC1_m with 6 layers: 3.787e+00
    6. Model alexnet with 5 layers: 8.523e+00
    7. Model transformer with 96 layers: 3.033e+00
    8. Model resnet50 with 53 layers: 8.238e+00
    9. Model wide_resnet50 with 53 layers: 8.852e+00
    10. Model manual with 3 layers: 6.722e+00
    11. Model shufflenet_v2 with 56 layers: 9.141e+00
    12. Model squeezenet with 26 layers: 9.187e+00
    13. Model try with 3 layers: 5.517e+00
    14. Model resnet18 with 20 layers: 7.528e+00
    15. Model vgg16 with 13 layers: 8.176e+00
    16. Model densenet with 160 layers: 8.377e+00
    17. Model T5_m with 6 layers: 4.078e+00
    18. Model resnext50_32x4d with 53 layers: 8.164e+00
    19. Model BERT_m with 6 layers: 1.375e+00
    20. Model ALBERT_m with 5 layers: 2.144e+00

Final result with all models and fixed hardware = 7.713023680649526

97. Using architecture PEs=64, L1=128, L2=256
    1. Model mnasnet with 52 layers: 1.535e+01
    2. Model ncf_m with 12 layers: 6.984e+00
    3. Model mobilenet_v2 with 52 layers: 1.522e+01
    4. Model googlenet with 59 layers: 1.578e+01
    5. Model dlrmRMC1_m with 6 layers: 1.074e+01
    6. Model alexnet with 5 layers: 1.506e+01
    7. Model transformer with 96 layers: 5.594e+00
    8. Model resnet50 with 53 layers: 1.542e+01
    9. Model wide_resnet50 with 53 layers: 1.729e+01
    10. Model manual with 3 layers: 2.033e+01
    11. Model shufflenet_v2 with 56 layers: 1.418e+01
    12. Model squeezenet with 26 layers: 2.006e+01
    13. Model try with 3 layers: 9.300e+00
    14. Model resnet18 with 20 layers: 1.551e+01
    15. Model vgg16 with 13 layers: 1.739e+01
    16. Model densenet with 160 layers: 1.720e+01
    17. Model T5_m with 6 layers: 6.155e+00
    18. Model resnext50_32x4d with 53 layers: 1.497e+01
    19. Model BERT_m with 6 layers: 5.561e+00
    20. Model ALBERT_m with 5 layers: 1.120e+01

Final result with all models and fixed hardware = 14.38195645466847

98. Using architecture PEs=64, L1=128, L2=512
    1. Model mnasnet with 52 layers: 2.856e+01
    2. Model ncf_m with 12 layers: 2.948e+01
    3. Model mobilenet_v2 with 52 layers: 2.727e+01
    4. Model googlenet with 59 layers: 2.967e+01
    5. Model dlrmRMC1_m with 6 layers: 1.943e+01
    6. Model alexnet with 5 layers: 2.756e+01
    7. Model transformer with 96 layers: 3.019e+01
    8. Model resnet50 with 53 layers: 2.836e+01
    9. Model wide_resnet50 with 53 layers: 2.926e+01
    10. Model manual with 3 layers: 2.375e+01
    11. Model shufflenet_v2 with 56 layers: 2.857e+01
    12. Model squeezenet with 26 layers: 3.045e+01
    13. Model try with 3 layers: 3.065e+01
    14. Model resnet18 with 20 layers: 3.427e+01
    15. Model vgg16 with 13 layers: 3.195e+01
    16. Model densenet with 160 layers: 2.748e+01
    17. Model T5_m with 6 layers: 2.933e+01
    18. Model resnext50_32x4d with 53 layers: 2.818e+01
    19. Model BERT_m with 6 layers: 3.093e+01
    20. Model ALBERT_m with 5 layers: 2.901e+01

Final result with all models and fixed hardware = 28.77742269012178

99. Using architecture PEs=64, L1=128, L2=1024
    1. Model mnasnet with 52 layers: 3.213e+01
    2. Model ncf_m with 12 layers: 3.413e+01
    3. Model mobilenet_v2 with 52 layers: 3.449e+01
    4. Model googlenet with 59 layers: 3.212e+01
    5. Model dlrmRMC1_m with 6 layers: 3.001e+01
    6. Model alexnet with 5 layers: 2.679e+01
    7. Model transformer with 96 layers: 3.333e+01
    8. Model resnet50 with 53 layers: 3.225e+01
    9. Model wide_resnet50 with 53 layers: 3.616e+01
    10. Model manual with 3 layers: 4.590e+01
    11. Model shufflenet_v2 with 56 layers: 3.188e+01
    12. Model squeezenet with 26 layers: 3.762e+01
    13. Model try with 3 layers: 3.279e+01
    14. Model resnet18 with 20 layers: 3.347e+01
    15. Model vgg16 with 13 layers: 3.364e+01
    16. Model densenet with 160 layers: 3.469e+01
    17. Model T5_m with 6 layers: 3.276e+01
    18. Model resnext50_32x4d with 53 layers: 3.517e+01
    19. Model BERT_m with 6 layers: 3.582e+01
    20. Model ALBERT_m with 5 layers: 3.412e+01

Final result with all models and fixed hardware = 33.84443727469554

100. Using architecture PEs=64, L1=128, L2=2048
    1. Model mnasnet with 52 layers: 3.824e+01
    2. Model ncf_m with 12 layers: 3.388e+01
    3. Model mobilenet_v2 with 52 layers: 4.050e+01
    4. Model googlenet with 59 layers: 4.096e+01
    5. Model dlrmRMC1_m with 6 layers: 3.197e+01
    6. Model alexnet with 5 layers: 4.267e+01
    7. Model transformer with 96 layers: 3.762e+01
    8. Model resnet50 with 53 layers: 4.247e+01
    9. Model wide_resnet50 with 53 layers: 4.136e+01
    10. Model manual with 3 layers: 4.315e+01
    11. Model shufflenet_v2 with 56 layers: 3.789e+01
    12. Model squeezenet with 26 layers: 4.307e+01
    13. Model try with 3 layers: 3.428e+01
    14. Model resnet18 with 20 layers: 4.541e+01
    15. Model vgg16 with 13 layers: 4.178e+01
    16. Model densenet with 160 layers: 4.167e+01
    17. Model T5_m with 6 layers: 3.369e+01
    18. Model resnext50_32x4d with 53 layers: 4.213e+01
    19. Model BERT_m with 6 layers: 3.126e+01
    20. Model ALBERT_m with 5 layers: 4.221e+01

Final result with all models and fixed hardware = 40.328087960757784

101. Using architecture PEs=128, L1=16, L2=128
    1. Model mnasnet with 52 layers: 7.332e+00
    2. Model ncf_m with 12 layers: 2.227e+00
    3. Model mobilenet_v2 with 52 layers: 7.850e+00
    4. Model googlenet with 59 layers: 9.121e+00
    5. Model dlrmRMC1_m with 6 layers: 5.858e+00
    6. Model alexnet with 5 layers: 9.357e+00
    7. Model transformer with 96 layers: 3.505e+00
